value,count,percentage
NegVNeg,35,0.29411764705882354
Neg[V-Neg],28,0.23529411764705882
[Neg-V]Neg,9,0.07563025210084033
[Neg-V-Neg],27,0.226890756302521
Negative tone & VNeg,1,0.008403361344537815
Negative tone & [Neg-V],2,0.01680672268907563
NegNegV,2,0.01680672268907563
Neg[Neg-V],2,0.01680672268907563
VNegNeg,2,0.01680672268907563
Type 1 / Type 2,1,0.008403361344537815
Type 1 / Type 3,1,0.008403361344537815
Type 1 / Type 5,1,0.008403361344537815
Type 1 / Type 7,1,0.008403361344537815
Type 1 / Type 9,1,0.008403361344537815
Type 2 / Type 4,1,0.008403361344537815
ObligDoubleNeg&OptTripleNeg,5,0.04201680672268908
