value,count,percentage
NegV(Neg),11,0.13580246913580246
(Neg)VNeg,20,0.24691358024691357
Neg[V(-Neg)],5,0.06172839506172839
(Neg)[V-Neg],5,0.06172839506172839
[Neg-V](Neg),3,0.037037037037037035
[(Neg-)V]Neg,2,0.024691358024691357
[Neg-V(-Neg)],5,0.06172839506172839
[(Neg-)V-Neg],6,0.07407407407407407
V(Neg)Neg,2,0.024691358024691357
[V-Neg](Neg),2,0.024691358024691357
Neg(Neg)V,1,0.012345679012345678
Neg[(Neg-)]V,3,0.037037037037037035
NegV&OptChangeVerbStem,1,0.012345679012345678
NegV/[Neg-V-Neg],2,0.024691358024691357
VNeg/[Neg-V-Neg],1,0.012345679012345678
[Neg-V]/NegVNeg,1,0.012345679012345678
NegV or NegativeTone&VNeg,1,0.012345679012345678
NegV/[V-Neg]/Neg[V-Neg],4,0.04938271604938271
NegV/VNeg/NegVNeg,2,0.024691358024691357
NegV/[V-Neg]/[Neg-V-Neg],1,0.012345679012345678
[Neg-V]/VNeg/[Neg-V-Neg],1,0.012345679012345678
NegV/[Neg-V]/Neg[Neg-V],1,0.012345679012345678
OptDoubleNeg&OptTripleNeg,1,0.012345679012345678
