value,count,percentage
NegSVO,10,0.008410428931875526
SNegVO,112,0.0941968040370059
SVNegO,2,0.001682085786375105
SVONeg,81,0.06812447434819176
NegSOV,11,0.009251471825063078
SNegOV,15,0.012615643397813289
SONegV,65,0.054667788057190914
SOVNeg,49,0.04121110176619008
NegVSO,58,0.04878048780487805
VSNegO,1,8.410428931875525e-4
VSONeg,1,8.410428931875525e-4
NegVOS,18,0.015138772077375946
ONegVS,3,0.002523128679562658
OVNegS,1,8.410428931875525e-4
OSVNeg,1,8.410428931875525e-4
More than one position,91,0.07653490328006729
OptSingleNeg,1,8.410428931875525e-4
ObligDoubleNeg,101,0.08494533221194281
OptDoubleNeg,67,0.056349873843566024
MorphNeg,333,0.280067283431455
Other,168,0.14129520605550883
