value,count,percentage
"VSO, but NegSVO",6,0.21428571428571427
"SVO, but SNegOV",3,0.10714285714285714
"SVO, but SONegV",1,0.03571428571428571
"SVO, but SOVNeg",1,0.03571428571428571
"SVO, but NegVSO",1,0.03571428571428571
SVO but SO[V-Neg],1,0.03571428571428571
SVO but SO[Neg-V],1,0.03571428571428571
OSV but NegSVO/O[Neg-V]S,1,0.03571428571428571
"SVO, but NegSNegOV",1,0.03571428571428571
"SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]",1,0.03571428571428571
SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O,1,0.03571428571428571
"SVO/VSO, but NegSVONeg",1,0.03571428571428571
"SVO/VSO, but [Neg-V]SO(Neg)",1,0.03571428571428571
"SVO/SOV, but SVONeg",5,0.17857142857142858
"SVO/SOV, but SNegVO",1,0.03571428571428571
"SVO/SOV, but SNegOV",1,0.03571428571428571
"SVO/SOV, but SOVNeg",1,0.03571428571428571
