value,count,percentage
NegSVO,4,0.008639308855291577
SNegVO,111,0.23974082073434125
SVNegO,2,0.004319654427645789
SVONeg,81,0.17494600431965443
S[Neg-V]O,67,0.1447084233261339
S[V-Neg]O,12,0.02591792656587473
SVO&Tone,1,0.0021598272138228943
VSO but NegSVO,6,0.012958963282937365
SVO/SOV but SVONeg,5,0.01079913606911447
SOV/SOV but SNegVO,1,0.0021598272138228943
Other NegV,26,0.056155507559395246
Other VNeg,8,0.017278617710583154
More than one construction,48,0.10367170626349892
ObligNeg,56,0.12095032397408208
OptNeg,35,0.0755939524838013
