value,count,percentage
SNegVO/SVNegO,5,0.10416666666666667
NegSVO/SNegVO,3,0.0625
NegSVO/SVNegO,1,0.020833333333333332
SNegVO/SVONeg,1,0.020833333333333332
SVNegO/SVONeg,2,0.041666666666666664
SVO & Flexible Neg,1,0.020833333333333332
SNegVO/S[V-Neg]O,2,0.041666666666666664
S[Neg-V]O/SVNegO,2,0.041666666666666664
NegSVO/SNegVO/S[V-Neg]O,1,0.020833333333333332
SNegVO/NegVSO,5,0.10416666666666667
SVONeg/VSONeg,1,0.020833333333333332
NegSVO/NegVOS,1,0.020833333333333332
SNegVO/NegVOS,2,0.041666666666666664
S[Neg-V]O/[Neg-V]OS,2,0.041666666666666664
SVONeg/SONegV,2,0.041666666666666664
SVNegO/SOVNeg,1,0.020833333333333332
SVONeg/SNegOV/SOVNeg,1,0.020833333333333332
NegSVO/SVNegO/NegSOV/SNegOV,1,0.020833333333333332
SNegVO/SONegV/SVONeg/SOVNeg,1,0.020833333333333332
S[Neg-V]O/SO[Neg-V],1,0.020833333333333332
S[V-Neg]O/SO[V-Neg],2,0.041666666666666664
SNegVO/SONegV/S[Neg-V]O/SO[Neg-V],1,0.020833333333333332
NegSVO/O[Neg-V]S,1,0.020833333333333332
SVO & NegV/VNeg,1,0.020833333333333332
SVO & NegV/[V-Neg],2,0.041666666666666664
SVO/VSO & NegV,2,0.041666666666666664
SVO/VOS & NegV,2,0.041666666666666664
SVO/SOV & NegV/VNeg,1,0.020833333333333332
