value,count,percentage
SNegVONeg,11,0.19642857142857142
SNegVNegO,6,0.10714285714285714
SVNegONeg,1,0.017857142857142856
SVO/VSO but NegSVONeg,1,0.017857142857142856
S[Neg-V]ONeg,7,0.125
SNeg[V-Neg]O,4,0.07142857142857142
S[Neg-V]NegO,1,0.017857142857142856
NegS[V-Neg]O,2,0.03571428571428571
S[Neg-V-Neg]O,5,0.08928571428571429
SVNegO&NegTone,1,0.017857142857142856
S[Neg-V]O&NegTone,1,0.017857142857142856
SNegNegVO/SNegVNegO,1,0.017857142857142856
SNegVNegO/SNegVONeg,1,0.017857142857142856
SNegVONeg/S[Neg-V]ONeg,1,0.017857142857142856
(Neg)S(Neg)VONeg,1,0.017857142857142856
SNeg[V-Neg]O&NegTone/SNegVNegO,1,0.017857142857142856
S(Neg)[Neg-V-Neg]O,1,0.017857142857142856
SNeg[V(-Neg)]ONeg/S[Neg-V(-Neg)]ONeg,1,0.017857142857142856
SNegVONeg/SNegOVNeg,1,0.017857142857142856
SVONeg&NegTone/SNegOVNeg,1,0.017857142857142856
SNegVONeg/SVNegONeg/NegVOSNeg/VNegOSNeg,1,0.017857142857142856
SVO & NegVNeg,5,0.08928571428571429
S[Neg-V]O & NegV,1,0.017857142857142856
