value,count,percentage
SNegVO(Neg),6,0.17142857142857143
S(Neg)VONeg,8,0.22857142857142856
S(Neg)VNegO,3,0.08571428571428572
SNegV(Neg)O,1,0.02857142857142857
(Neg)SVONeg,2,0.05714285714285714
SVNegO(Neg),1,0.02857142857142857
NegS[V(-Neg)]O,1,0.02857142857142857
S[(Neg-)V]NegO,1,0.02857142857142857
S[Neg-V]O(Neg),2,0.05714285714285714
SNegVO/SVNegO&NegTone,1,0.02857142857142857
S(Neg)[V(-Neg)]O,1,0.02857142857142857
S[Neg-V(-Neg)]O,2,0.05714285714285714
(Neg)SVONeg/S(Neg)VONeg,1,0.02857142857142857
S[Neg-V]O/NegSVNegO,1,0.02857142857142857
SNeg[V-Neg]O/S[Neg-V-Neg]O,1,0.02857142857142857
S[V(-Neg)]O & NegV,1,0.02857142857142857
SVO/SOV & (Neg)[V-Neg],1,0.02857142857142857
SVO/VSO & NegV/VNeg/NegVNeg,1,0.02857142857142857
