value,count,percentage
NegSOV,10,0.017482517482517484
SNegOV,11,0.019230769230769232
SONegV,64,0.11188811188811189
SOVNeg,48,0.08391608391608392
SO[Neg-V],49,0.08566433566433566
SO[V-Neg],128,0.22377622377622378
SVO but SNegOV,3,0.005244755244755245
SVO but SONegV,1,0.0017482517482517483
SVO but SOVNeg,1,0.0017482517482517483
SVO but SO[V-Neg],1,0.0017482517482517483
SVO but SO[Neg-V],1,0.0017482517482517483
SVO/SOV but SNegOV,1,0.0017482517482517483
SVO/SOV but SOVNeg,1,0.0017482517482517483
Other NegV,56,0.0979020979020979
More than one construction,54,0.0944055944055944
ObligDoubleNeg,45,0.07867132867132867
OptDoubleNeg,31,0.05419580419580419
SV&OV&NegV,13,0.022727272727272728
SV&OV&VNeg,8,0.013986013986013986
SV&OV&[Neg-V],14,0.024475524475524476
SV&OV&[V-Neg],23,0.04020979020979021
SV&OV&ImmedPreverbal,5,0.008741258741258742
SV&OV&InitialNeg,4,0.006993006993006993
