value,count,percentage
SONegV/SOVNeg,1,0.018518518518518517
SNegOV/SONegV,2,0.037037037037037035
NegSOV/SNegOV/SONegV,4,0.07407407407407407
NegSOV/2ndPos,1,0.018518518518518517
SOVNeg/SO[V-Neg],8,0.14814814814814814
SO[Neg-V]/SO[V-Neg],6,0.1111111111111111
SO[Neg-V]/SOVwithNegInfix,1,0.018518518518518517
SNegOV/SONegV/SO[V-Neg],1,0.018518518518518517
SONegV/SVONeg,2,0.037037037037037035
SOVNeg/SVNegO,1,0.018518518518518517
SNegOV/SOVNeg/SVONeg,1,0.018518518518518517
NegSOV/SNegOV/NegSVO/SVNegO,1,0.018518518518518517
SONegV/SOVNeg/SNegVO/SVONeg,1,0.018518518518518517
SO[Neg-V]/S[Neg-V]O,1,0.018518518518518517
SO[V-Neg]/S[V-Neg]O/,2,0.037037037037037035
SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O,1,0.018518518518518517
NegSOV/NegOVS,1,0.018518518518518517
SOVNeg/OVNegS,1,0.018518518518518517
SO[V-Neg]/O[V-Neg]S,1,0.018518518518518517
SOV & NegV/VNeg (a),5,0.09259259259259259
SOV & NegV/[Neg-V],3,0.05555555555555555
SOV & NegV/[V-Neg],2,0.037037037037037035
SOV & NegV/VNeg (b),1,0.018518518518518517
SV & OV & NegV/VNeg,2,0.037037037037037035
SV & OV & NegV/[V-Neg],1,0.018518518518518517
SV & OV & [Neg-V]/[V-Neg],2,0.037037037037037035
SV & OV & VNeg/[V-Neg],1,0.018518518518518517
