value,count,percentage
SONegVNeg,1,0.022222222222222223
SVO but NegSNegOV,1,0.022222222222222223
NegSO[V-Neg],4,0.08888888888888889
SONeg[V-Neg],2,0.044444444444444446
SO[Neg-V]Neg,1,0.022222222222222223
SO[Neg-V-Neg],13,0.28888888888888886
SO[Neg-V] with negative tone on verb  SO[Neg-V]&NegTone,1,0.022222222222222223
SONegVNeg/SONeg[V-Neg],1,0.022222222222222223
SVO but SONeg[V-Neg]/SO[Neg-V-Neg],1,0.022222222222222223
SNegO[V-Neg]/SONeg[V-Neg],2,0.044444444444444446
SO[V-Neg]Neg & OptNegPref/Infix,1,0.022222222222222223
SNegOVNeg/SNegVONeg,1,0.022222222222222223
SNegOVNeg/SVONeg&NegTone,1,0.022222222222222223
SOV & NegVNeg,3,0.06666666666666667
SOV & Neg[V-Neg],7,0.15555555555555556
SOV & Neg[Neg-V],1,0.022222222222222223
SV & OV & Neg[V-Neg],2,0.044444444444444446
SV & OV & [Neg-V-Neg],2,0.044444444444444446
