value,count,percentage
NegSOV(Neg),1,0.03225806451612903
S(Neg)OVNeg,3,0.0967741935483871
SNegOV(Neg),1,0.03225806451612903
SNegO[V(-Neg)],1,0.03225806451612903
SO[(Neg-)V]Neg,1,0.03225806451612903
SO[Neg-V(-Neg)],2,0.06451612903225806
SO[(Neg-)V-Neg],3,0.0967741935483871
SO[V-Neg](Neg),2,0.06451612903225806
SOVNeg/SO[Neg-V-Neg],1,0.03225806451612903
SNegO[V(-Neg)](Neg),1,0.03225806451612903
SOV but S[Neg-V-Neg]O/SO[V-Neg],1,0.03225806451612903
SO[Neg-V-(Neg)]/SOVNeg,1,0.03225806451612903
(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,3,0.0967741935483871
S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)],1,0.03225806451612903
SOV & (Neg)[V-Neg],2,0.06451612903225806
SOV & (Neg)[V(-Neg)],1,0.03225806451612903
SOV/SVO & Neg[V-(Neg)],1,0.03225806451612903
SV & OV & (Neg)V(Neg),1,0.03225806451612903
SV & OV &  (Neg)[V-Neg],1,0.03225806451612903
SV & OV &  [Neg-V(-Neg)],1,0.03225806451612903
SV & OV &  [(Neg-)V-Neg],2,0.06451612903225806
