value,count,percentage
NegVSO,57,0.375
VSNegO,1,0.006578947368421052
VSONeg,1,0.006578947368421052
NegVOS,18,0.11842105263157894
NegVSO/NegVOS,11,0.07236842105263158
NegV & VS & VO,16,0.10526315789473684
SVO but NegVSO,1,0.006578947368421052
[Neg-V]SO,7,0.046052631578947366
[Neg-V]OS,2,0.013157894736842105
[V-Neg]OS,1,0.006578947368421052
[V-Neg] & VS &VO,1,0.006578947368421052
NegVSO/[Neg-V]SO,2,0.013157894736842105
NegVOS/[Neg-V]OS,1,0.006578947368421052
NegVSO/SNegVO,5,0.03289473684210526
VSONeg/SVONeg,1,0.006578947368421052
NegVOS/NegSVO,1,0.006578947368421052
NegVOS/SNegVO,2,0.013157894736842105
[Neg-V]OS/S[Neg-V]O,2,0.013157894736842105
NegV & VSO/SVO,2,0.013157894736842105
NegV & VOS/SVO,2,0.013157894736842105
OptSingleNeg,1,0.006578947368421052
ObligDoubleNeg,7,0.046052631578947366
OptDoubleNeg,10,0.06578947368421052
