value,count,percentage
NegVNegSO,1,0.058823529411764705
NegVNegOS,1,0.058823529411764705
NegVSONeg,1,0.058823529411764705
NegNegVSO,1,0.058823529411764705
VNegSONeg,1,0.058823529411764705
VS & VO & [Neg-V-Neg],1,0.058823529411764705
NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg,1,0.058823529411764705
V(Neg)SONeg,1,0.058823529411764705
Neg(Neg)VSO,1,0.058823529411764705
NegVSO/[Neg-V-Neg]SO,1,0.058823529411764705
NegVSO&OptStemChange,1,0.058823529411764705
SVO/VSO but [Neg-V]SO(Neg),1,0.058823529411764705
VS&VO&Neg[(Neg-)V],2,0.11764705882352941
VS&VO&NegV/[(Neg-)V-Neg],1,0.058823529411764705
VOS & NegVNeg,1,0.058823529411764705
VSO/SVO & (Neg)V(Neg),1,0.058823529411764705
